dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,012-Mobile AL,30-Textiles/leather,1-Truck,3.588,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,31-Nonmetal min. prods.,1-Truck,2.072,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,32-Base metals,1-Truck,0.7299,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,33-Articles-base metal,1-Truck,2.4273,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,34-Machinery,1-Truck,1.3613,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,35-Electronics,1-Truck,1.8109,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,36-Motorized vehicles,1-Truck,1.0173,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,37-Transport equip.,1-Truck,11.0001,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,38-Precision instruments,1-Truck,0.365,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,39-Furniture,1-Truck,0.9816,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,40-Misc. mfg. prods.,1-Truck,0.3664,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,41-Waste/scrap,1-Truck,0,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,012-Mobile AL,43-Mixed freight,1-Truck,4.9526,61,Los Angeles CA,12,Mobile AL,,,
061-Los Angeles CA,019-Rest of AL,01-Live animals/fish,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,02-Cereal grains,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,03-Other ag prods.,1-Truck,0.1505,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,04-Animal feed,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,05-Meat/seafood,1-Truck,0.0005,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,06-Milled grain prods.,1-Truck,0.0301,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,07-Other foodstuffs,1-Truck,17.5848,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,08-Alcoholic beverages,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,13-Nonmetallic minerals,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,19-Natural gas and other fossil products,1-Truck,0,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,20-Basic chemicals,1-Truck,0.0493,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,21-Pharmaceuticals,1-Truck,0.1469,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,22-Fertilizers,1-Truck,0.0051,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,23-Chemical prods.,1-Truck,3.1643,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,24-Plastics/rubber,1-Truck,142.7001,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,26-Wood prods.,1-Truck,0.2352,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,27-Newsprint/paper,1-Truck,0.0284,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,28-Paper articles,1-Truck,0.1264,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,29-Printed prods.,1-Truck,0.6043,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,30-Textiles/leather,1-Truck,17.8681,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,31-Nonmetal min. prods.,1-Truck,6.7904,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,32-Base metals,1-Truck,23.1352,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,33-Articles-base metal,1-Truck,5.3621,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,34-Machinery,1-Truck,5.4429,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,35-Electronics,1-Truck,22.1777,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,36-Motorized vehicles,1-Truck,29.8354,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,37-Transport equip.,1-Truck,0.2826,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,38-Precision instruments,1-Truck,2.2879,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,39-Furniture,1-Truck,5.7609,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,40-Misc. mfg. prods.,1-Truck,24.4404,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,41-Waste/scrap,1-Truck,27.5713,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,019-Rest of AL,43-Mixed freight,1-Truck,2.7473,61,Los Angeles CA,19,Rest of AL,,,
061-Los Angeles CA,020-Alaska,03-Other ag prods.,1-Truck,0.0371,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,05-Meat/seafood,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,07-Other foodstuffs,1-Truck,0.0024,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,20-Basic chemicals,1-Truck,0.0027,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,23-Chemical prods.,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,24-Plastics/rubber,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,30-Textiles/leather,1-Truck,0.0008,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,31-Nonmetal min. prods.,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,32-Base metals,1-Truck,0.0004,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,33-Articles-base metal,1-Truck,0.0014,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,34-Machinery,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,35-Electronics,1-Truck,0.0002,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,36-Motorized vehicles,1-Truck,0.0078,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,37-Transport equip.,1-Truck,0.0001,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,38-Precision instruments,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,39-Furniture,1-Truck,0.0089,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,020-Alaska,40-Misc. mfg. prods.,1-Truck,0,61,Los Angeles CA,20,Alaska,,,
061-Los Angeles CA,041-Phoenix AZ,01-Live animals/fish,1-Truck,0,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,02-Cereal grains,1-Truck,3.3922,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,03-Other ag prods.,1-Truck,323.4016,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,04-Animal feed,1-Truck,67.4417,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,05-Meat/seafood,1-Truck,43.2798,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,06-Milled grain prods.,1-Truck,159.4031,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,07-Other foodstuffs,1-Truck,1284.6093,61,Los Angeles CA,41,Phoenix AZ,,,
